Year,Make,Model,Drivetrain,MinMPG,MaxMPG,FuelType,Transmission,Engine,ExteriorColor,InteriorColor,Used,VIN,Stock#,ID_Car
2019,Toyota,Sienna SE,FWD,19,27,Gasoline,Automatic,3.5L V6 24V PDI DOHC,Red,Black,True,5TDXZ3DC2KS015402,22998646,1
2018,Ford,F-150 Lariat,4WD,19,24,Gasoline,Automatic,3.5L V6 24V PDI DOHC Twin Turbo,Shadow Black,Black,True,1FTEW1EG2JFD44217,22418A,2
2017,Ram,1500 Laramie,4WD,15,21,Gasoline,Automatic,5.7L V8 16V MPFI OHV,Granite Crystal Clearcoat Metallic,Black,True,1C6RR7VT5HS842283,NG277871G,3
2021,Honda,Accord Sport SE,FWD,29,35,Gasoline,CVT,1.5L I4 16V GDI DOHC Turbo,Gray,Â,True,1HGCV1F49MA038035,54237,4
2020,Lexus,RX 350,FWD,20,27,Gasoline,Automatic,3.5L V6 24V PDI DOHC,Eminent White Pearl,Birch,True,2T2AZMAA8LC156270,HDT4181A,5
2012,Toyota,4Runner SR5,RWD,17,23,Gasoline,Automatic,4.0L V6 24V MPFI DOHC,Black,Â,True,JTEZU5JR3C5043790,C5043790,6
2017,Honda,HR-V LX,FWD,28,34,Gasoline,CVT,1.8L I4 16V MPFI SOHC,Modern Steel Metallic,Black,True,3CZRU5H32HG703897,T1480,7
2014,Mercedes-Benz,E-Class E 350,RWD,21,30,Gasoline,Automatic,3.5L V6 24V GDI DOHC,Lunar Blue Metallic,Saffron,True,WDDHF5KB3EA778099,224922A,8
2021,Honda,Pilot Touring 8-Passenger,AWD,19,26,Gasoline,Automatic,3.5L V6 24V GDI SOHC,Platinum White Pearl,Beige,True,5FNYF6H90MB052856,YMB052856,9
2020,Dodge,Charger Scat Pack,RWD,15,24,Gasoline,Automatic,6.4L V8 16V MPFI OHV,Triple Nickel Clearcoat,Black,False,2C3CDXGJ8LH157532,CBY705,10
2017,Lexus,RC 350 Base,RWD,19,28,Gasoline,Automatic,3.5L V6 24V PDI DOHC,Infrared,Silver,True,JTHHE5BC2H5017212,X220879A,11
2013,Lexus,GS 350 Base,RWD,19,28,Gasoline,Automatic,3.5L V6 24V GDI DOHC,Gray,Black,True,JTHBE1BL3D5024808,024808,12
2017,Lexus,RX 350 RX 350,FWD,20,27,Gasoline,Automatic,3.5L V6 24V GDI DOHC,Nightfall Mica,Gray,True,2T2ZZMCA8HC086311,086311,13
2020,Dodge,Charger Scat Pack,RWD,15,24,Gasoline,Automatic,6.4L V8 16V MPFI OHV,White Knuckle Clearcoat,Black,False,2C3CDXGJ5LH162364,NK11114B,14
2020,Dodge,Charger Scat Pack,RWD,15,24,Gasoline,Automatic,6.4L V8 16V MPFI OHV,Octane Red Pearlcoat,Black,True,2C3CDXGJ4LH149735,54546,15
2017,Lexus,RC 350 Base,RWD,19,28,Gasoline,Automatic,3.5L V6 24V PDI DOHC,Silver Lining Metallic,Sport,True,JTHHE5BC9H5016381,H5016381,16
2018,Ford,Explorer XLT,4WD,16,22,Gasoline,Automatic,3.5L V6 24V MPFI DOHC,Red,Black,True,1FM5K8D89JGB20589,P2214,17
2021,Subaru,Crosstrek Premium,AWD,28,33,Gasoline,CVT,2.0L H4 16V GDI DOHC,Cool-Gray Khaki,Black,True,JF2GTAEC0M8340692,53341,18
2018,Ford,Explorer XLT,4WD,16,22,Gasoline,Automatic,Regular Unleaded V-6 3.5 L/213,Red,Â,True,1FM5K8D82JGC77140,R5631,19
2018,Ford,Explorer XLT,FWD,17,24,Gasoline,Automatic,2.3L I4 16V GDI DOHC Turbo,Ruby Red Metallic Tinted Clearcoat,Ebony Black,True,1FM5K7DH7JGC86801,PJGC86801,20
2018,Ford,Explorer XLT,4WD,16,22,Gasoline,Automatic,3.5L V6 24V MPFI DOHC,Shadow Black,Ebony Black,True,1FM5K8D81JGC67795,PJGC67795,21
2021,Acura,RDX A-Spec,AWD,21,26,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Majestic Black Pearl,Red,True,5J8TC2H60ML034891,ML034891,22
2021,Acura,RDX A-Spec,AWD,21,26,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Apex Blue Pearl,Red,True,5J8TC2H65ML044042,ML044042,23
2018,Ford,Explorer XLT,4WD,16,22,Gasoline,Automatic,3.5L V6 24V MPFI DOHC,Magnetic,Ebony Black,True,1FM5K8D84JGB62068,180116740,24
2021,Subaru,Forester Sport,AWD,26,33,Gasoline,CVT,2.5L H4 16V GDI DOHC,Ice Silver Metallic,Gray,True,JF2SKALC4MH401994,53809,25
2018,Subaru,Crosstrek 2.0i Premium,AWD,27,33,Gasoline,CVT,2.0L H4 16V GDI DOHC,Venetian Red Pearl,Black,True,JF2GTADC9JH323841,15919,26
2018,Subaru,Crosstrek 2.0i Premium,AWD,27,33,Gasoline,CVT,2.0L H4 16V GDI DOHC,Venetian Red Pearl,Black,True,JF2GTADC4JH245601,JH245601,27
2018,Subaru,Crosstrek 2.0i Premium,AWD,27,33,Gasoline,CVT,2.0L H4 16V GDI DOHC,Crystal White Pearl,Black,True,JF2GTADC9JH280909,R280909,28
2016,Bmw,435 Gran Coupe i xDrive,AWD,20,30,Gasoline,Automatic,3.0L I6 24V GDI DOHC Turbo,White,Coral Red / Black,True,WBA4B3C58GG344713,61777494,29
2016,Bmw,435 Gran Coupe i xDrive,AWD,20,30,Gasoline,Automatic,3.0L I6 24V GDI DOHC Turbo,Gray,Black,True,WBA4B3C57GG527875,61708777,30
2019,Honda,Odyssey EX-L,FWD,19,28,Gasoline,Automatic,3.5L V6 24V GDI SOHC,Modern Steel Metallic,Gray,True,5FNRL6H79KB016821,B01681,31
