ID_Sell,ID_Car,ID_Seller,ID_Rating,Price,Mileage,ConsumerReviews,SellerReviews
1,1,1,1,39998,29403,45,3
2,2,2,2,49985,32929,817,131
3,3,3,3,41860,23173,495,249
4,4,4,4,28500,10598,36,284
5,5,5,5,49000,28137,76,4755
6,6,6,6,23541,105469,34,1071
7,7,7,7,20995,10458,200,2695
8,8,7,8,18985,58157,176,2695
9,9,8,9,44299,14445,63,237
10,10,9,10,46773,25642,56,1366
11,11,10,11,42734,10236,14,1405
12,12,11,12,16990,48605,81,3
13,13,12,13,36450,47729,261,200
14,14,13,14,47500,31538,56,1973
15,15,14,15,41000,18717,56,92
16,16,15,16,41493,34102,14,893
17,17,16,17,32995,61294,265,2
18,18,17,18,25500,11508,78,121
19,19,18,19,33341,81375,265,338
20,20,19,20,30489,28357,265,2
21,21,19,20,32489,33188,265,2
22,22,20,21,37000,5188,42,65
23,23,20,21,38000,12878,42,65
24,24,21,22,31672,47661,265,255
25,25,22,23,29500,10859,109,96
26,26,23,24,31995,30849,343,43
27,27,24,25,24561,86759,343,176
28,28,25,26,24921,61053,343,1
29,29,26,27,30995,65219,16,7
30,30,26,28,30995,63055,16,7
31,31,27,29,38347,64571,133,59
32,32,28,30,28999,56000,100,1563
33,33,29,31,43451,34768,35,205
34,34,30,32,37300,26012,42,2054
35,35,31,33,27741,48531,61,6
36,36,32,34,40782,10969,82,1911
37,37,33,35,38900,32201,133,721
38,38,34,36,30691,34686,32,112
39,39,35,37,31754,47226,83,192
40,40,36,38,34555,39855,42,192
41,41,37,39,58995,12531,16,383
42,42,38,40,41535,15118,1,159
43,43,39,41,26998,49372,61,923
44,44,40,42,17300,66560,131,923
45,45,41,43,22004,35257,743,380
46,46,42,44,47000,84000,37,380
47,47,43,45,43296,10563,63,959
48,48,44,46,52884,49870,296,223
49,49,45,47,12290,117401,112,34
50,50,46,48,33900,60733,20,1245
51,51,47,49,41389,36577,39,25
52,52,48,50,23739,32333,546,2398
53,53,49,51,32893,39879,13,2411
54,54,49,51,30693,50199,13,2411
55,55,50,52,23995,14940,24,7
56,56,51,53,30000,19229,3,1047
57,57,52,54,53000,55000,38,67
