ConsumerRating,SellerRating,ComfortRating,InteriorDesignRating,PerformanceRating,ValueForMoneyRating,ExteriorStylingRating,ReliabilityRating,DealType,ID_Rating
4.6,3.3,4.7,4.6,4.6,4.4,4.6,4.7,Great,1
4.8,4.8,4.9,4.8,4.8,4.6,4.8,4.7,Good,2
4.7,4.6,4.8,4.7,4.8,4.6,4.8,4.7,Good,3
5.0,4.6,4.9,5.0,4.9,5.0,5.0,5.0,Not Specified,4
4.8,4.8,4.9,4.8,4.8,4.7,4.8,4.9,Good,5
4.7,4.4,4.7,4.6,4.4,4.6,4.9,4.9,Fair,6
4.6,4.4,4.6,4.4,4.4,4.5,4.7,4.8,Great,7
4.8,4.4,4.9,4.8,4.8,4.6,4.9,4.8,Great,8
4.8,4.9,4.9,4.7,4.8,4.7,4.7,4.8,Good,9
4.8,4.3,4.9,4.8,4.9,4.7,4.9,4.9,Good,10
4.8,4.8,4.6,4.9,4.7,4.6,5.0,4.9,Great,11
4.7,5.0,4.8,4.8,4.7,4.5,4.7,4.9,Great,12
4.7,4.9,4.8,4.7,4.6,4.5,4.7,4.8,Good,13
4.8,4.7,4.9,4.8,4.9,4.7,4.9,4.9,Good,14
4.8,4.5,4.9,4.8,4.9,4.7,4.9,4.9,Not Specified,15
4.8,4.6,4.6,4.9,4.7,4.6,5.0,4.9,Fair,16
4.8,5.0,4.9,4.8,4.8,4.7,4.9,4.8,Good,17
4.8,4.4,4.9,4.8,4.8,4.8,4.8,4.8,Not Specified,18
4.8,3.9,4.9,4.8,4.8,4.7,4.9,4.8,Good,19
4.8,3.0,4.9,4.8,4.8,4.7,4.9,4.8,Good,20
4.8,4.2,4.9,4.9,4.7,4.6,4.9,4.8,Not Specified,21
4.8,4.9,4.9,4.8,4.8,4.7,4.9,4.8,Good,22
4.9,4.6,4.9,4.9,4.9,4.8,4.8,4.9,Not Specified,23
4.8,4.0,4.8,4.8,4.6,4.8,4.9,4.9,Fair,24
4.8,4.6,4.8,4.8,4.6,4.8,4.9,4.9,Good,25
4.8,1.0,4.8,4.8,4.6,4.8,4.9,4.9,Good,26
4.8,5.0,4.6,4.9,4.9,4.4,5.0,5.0,Good,27
4.8,5.0,4.6,4.9,4.9,4.4,5.0,5.0,Fair,28
4.6,5.0,4.8,4.6,4.5,4.3,4.7,4.5,Good,29
4.7,4.7,4.8,4.6,4.7,4.6,4.7,4.8,Great,30
4.8,4.7,4.9,4.9,4.7,4.7,4.9,4.7,Good,31
4.7,4.8,4.8,4.6,4.7,4.5,4.7,4.7,Good,32
4.8,4.3,4.7,4.7,4.9,4.5,4.9,4.7,Fair,33
4.9,4.9,5.0,4.9,4.9,4.8,4.9,4.9,Good,34
4.6,4.8,4.8,4.6,4.5,4.3,4.7,4.5,Good,35
4.9,4.7,5.0,4.9,4.9,4.9,4.9,5.0,Fair,36
4.8,4.7,4.8,4.8,4.8,4.7,4.9,4.8,Great,37
4.3,4.7,4.4,4.6,4.2,4.0,4.7,4.0,Great,38
4.9,4.6,4.9,4.8,4.9,4.9,4.9,4.9,Fair,39
5.0,4.4,5.0,5.0,5.0,5.0,5.0,5.0,Great,40
4.7,4.7,4.8,4.8,4.8,4.7,4.7,4.8,Fair,41
4.7,4.7,4.6,4.5,4.8,4.7,4.7,4.8,Not Specified,42
4.8,4.2,4.7,4.7,4.8,4.8,4.8,4.8,Good,43
4.6,4.2,4.7,4.4,4.9,4.1,4.7,4.5,Good,44
4.8,4.8,4.9,4.7,4.8,4.7,4.7,4.8,Good,45
4.8,4.9,4.9,4.8,4.8,4.6,4.9,4.7,Fair,46
4.3,4.2,4.6,4.5,4.2,4.0,4.6,4.1,Great,47
4.7,4.3,4.5,4.4,4.9,4.5,4.8,4.8,Great,48
4.9,4.0,4.9,4.9,4.9,4.9,4.9,4.9,Fair,49
4.8,4.8,4.7,4.7,4.8,4.8,4.9,4.8,Good,50
4.8,4.6,4.7,4.9,5.0,4.7,4.8,4.9,Good,51
