Year,Make,Model,Drivetrain,MinMPG,MaxMPG,FuelType,Transmission,Engine,ID_Vehiculo
2019,Toyota,Sienna SE,FWD,19,27,Gasoline,Automatic,3.5L V6 24V PDI DOHC,1
2018,Ford,F-150 Lariat,4WD,19,24,Gasoline,Automatic,3.5L V6 24V PDI DOHC Twin Turbo,2
2017,Ram,1500 Laramie,4WD,15,21,Gasoline,Automatic,5.7L V8 16V MPFI OHV,3
2021,Honda,Accord Sport SE,FWD,29,35,Gasoline,CVT,1.5L I4 16V GDI DOHC Turbo,4
2020,Lexus,RX 350,FWD,20,27,Gasoline,Automatic,3.5L V6 24V PDI DOHC,5
2012,Toyota,4Runner SR5,RWD,17,23,Gasoline,Automatic,4.0L V6 24V MPFI DOHC,6
2017,Honda,HR-V LX,FWD,28,34,Gasoline,CVT,1.8L I4 16V MPFI SOHC,7
2014,Mercedes-Benz,E-Class E 350,RWD,21,30,Gasoline,Automatic,3.5L V6 24V GDI DOHC,8
2021,Honda,Pilot Touring 8-Passenger,AWD,19,26,Gasoline,Automatic,3.5L V6 24V GDI SOHC,9
2020,Dodge,Charger Scat Pack,RWD,15,24,Gasoline,Automatic,6.4L V8 16V MPFI OHV,10
2017,Lexus,RC 350 Base,RWD,19,28,Gasoline,Automatic,3.5L V6 24V PDI DOHC,11
2013,Lexus,GS 350 Base,RWD,19,28,Gasoline,Automatic,3.5L V6 24V GDI DOHC,12
2017,Lexus,RX 350 RX 350,FWD,20,27,Gasoline,Automatic,3.5L V6 24V GDI DOHC,13
2018,Ford,Explorer XLT,4WD,16,22,Gasoline,Automatic,3.5L V6 24V MPFI DOHC,14
2021,Subaru,Crosstrek Premium,AWD,28,33,Gasoline,CVT,2.0L H4 16V GDI DOHC,15
2018,Ford,Explorer XLT,4WD,16,22,Gasoline,Automatic,Regular Unleaded V-6 3.5 L/213,16
2018,Ford,Explorer XLT,FWD,17,24,Gasoline,Automatic,2.3L I4 16V GDI DOHC Turbo,17
2021,Acura,RDX A-Spec,AWD,21,26,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,18
2021,Subaru,Forester Sport,AWD,26,33,Gasoline,CVT,2.5L H4 16V GDI DOHC,19
2018,Subaru,Crosstrek 2.0i Premium,AWD,27,33,Gasoline,CVT,2.0L H4 16V GDI DOHC,20
2016,Bmw,435 Gran Coupe i xDrive,AWD,20,30,Gasoline,Automatic,3.0L I6 24V GDI DOHC Turbo,21
2019,Honda,Odyssey EX-L,FWD,19,28,Gasoline,Automatic,3.5L V6 24V GDI SOHC,22
2016,Honda,Odyssey EX-L,FWD,19,28,Gasoline,Automatic,248.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,23
2020,Mercedes-Benz,GLC 300 Base,RWD,22,29,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,24
2019,Audi,Q5 2.0T Premium,AWD,22,27,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,25
2014,Bmw,428 i,RWD,23,34,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,26
2019,Volvo,XC60 T5 Momentum,AWD,20,27,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,27
2019,Lincoln,MKZ Standard,FWD,20,31,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,28
2020,Subaru,Ascent Touring 7-Passenger,AWD,20,26,Gasoline,CVT,2.4L H4 16V GDI DOHC Turbo,29
2017,Land,Rover Range Rover Evoque SE Premium,4WD,21,29,Gasoline,Automatic,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,30
2022,Acura,MDX A-Spec,AWD,19,25,Gasoline,Automatic,3.5L V6 24V GDI SOHC,31
2022,Honda,Pilot EX-L,FWD,20,27,Gasoline,Automatic,3.5L V6 24V GDI SOHC,32
2019,Chevrolet,Impala Premier 2LZ,FWD,19,28,Gasoline,Automatic,3.6L V6 24V GDI DOHC,33
2013,Infiniti,G37 x,AWD,18,25,Gasoline,Automatic,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,34
2017,Honda,Civic EX,FWD,31,40,Gasoline,CVT,1.5L I4 16V GDI DOHC Turbo,35
2017,Tesla,Model S 75,RWD,0,0,Electric,Automatic,382.0HP Electric Motor Electric Fuel System,36
2021,Honda,Pilot Special Edition,AWD,19,26,Gasoline,Automatic,Regular Unleaded V-6 3.5 L/212,37
2015,Jeep,Grand Cherokee SRT,4WD,13,19,Gasoline,Automatic,6.4L V8 16V MPFI OHV,38
2011,Ford,Explorer Limited,FWD,17,25,Gasoline,Automatic,3.5L V6 24V MPFI DOHC,39
2017,Bmw,M240 i,RWD,21,32,Gasoline,Automatic,Straight 6 Cylinder Engine,40
2020,Volvo,XC60 T5 Inscription,FWD,22,29,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,41
2018,Honda,Civic EX,FWD,31,40,Gasoline,CVT,1.5L I4 16V GDI DOHC Turbo,42
2020,Bmw,X1 xDrive28i,AWD,23,31,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,43
2019,Acura,ILX Premium & A-SPEC Packages,FWD,24,34,Gasoline,Automatic,2.4L I4 16V GDI DOHC,44
2021,Chrysler,300 S,RWD,19,30,Gasoline,Automatic,3.6L V6 24V MPFI DOHC,45
2017,Land,Rover Range Rover Sport 3.0L Supercharged HSE Dynamic,4WD,17,23,Gasoline,Automatic,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,46
